STT,Hoạt chất 1,Hoạt chất 2,Cơ chế,Hậu quả,Xử trí
190,Clarithromycin,Felodipin,Clarithromycin ức chế CYP3A4 mạnh làm giảm chuyển hóa của felodipin,"Tăng nồng độ felodipin, tăng nguy cơ hạ huyết áp nghiêm trọng","Chống chỉ định phối hợp. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn: Trong trường hợp bắt buộc sử dụng kháng sinh macrolid, thay clarithromycin bằng azithromycin."
191,Clarithromycin,Lercanidipin,Clarithromycin ức chế CYP3A4 mạnh làm giảm chuyển hóa của lercanidipin,"Tăng nồng độ lercanidipin, tăng nguy cơ hạ huyết áp nghiêm trọng","Chống chỉ định phối hợp. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn: Trong trường hợp bắt buộc sử dụng kháng sinh macrolid, thay clarithromycin bằng azithromycin."
192,Clarithromycin,Quetiapin,Clarithromycin ức chế CYP3A4 mạnh làm giảm chuyển hóa của quetiapin,"Tăng nồng độ của quetiapin, tăng nguy cơ kéo dài khoảng QT","Chống chỉ định phối hợp. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn: Trong trường hợp bắt buộc sử dụng kháng sinh macrolid, thay clarithromycin bằng azithromycin."
193,Clarithromycin,Everolimus,"Clarithromycin ức chế mạnh CP3A4 làm giảm chuyển hóa của everolimus ở gan, đồng thời, ức chế P-gp làm giảm thải trừ everolimus khỏi cơ thể.","Tăng nồng độ everolimus trong huyết thanh, tăng tác dụng bất lợi liên quan đến ức chế miễn dịch",Chống chỉ định phối hợp
194,Clarithromycin,Saquinavir/ ritonavir,"Clarithromycin ức chế CYP3A4 và P-gp, làm giảm chuyển hóa và thải trừ saquinavir. Saquinavir cũng ức chế CYP3A4 làm giảm chuyển hóa của clarithromycin.","Tăng nồng độ clarithromycin, tăng nồng độ saquinavir, tăng nguy cơ kéo dài khoảng QT và xoắn đỉnh.","1. Chống chỉ định phối hợp ở bệnh nhân có QTc > 450 ms và saquinavir ở dạng phối hợp ritonavir. 2. Trong trường hợp bắt buộc phối hợp, định kỳ đo điện tâm đồ mỗi 3-4 ngày. Nếu QTc > 480 ms hoặc tăng > 20 ms so với ban đầu, ngừng 1 trong 2 hoặc cả 2 thuốc."
195,Clarithromycin,Sparfloxacin,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh","1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải. 2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quyết định kê đơn."
196,Clarithromycin,Domperidon,Clarithromycin ức chế CYP3A4 làm giảm chuyển hóa của domperidon,"Tăng nồng độ domperidon trong huyết thanh, tăng nguy cơ kéo dài khoảng QT",Chống chỉ định phối hợp
197,Clidinium,Kali clorid (dạng uống giải phóng kéo dài),"Clidinium kháng cholinergic gây tồn lưu hoặc làm tăng thời gian kali qua đường tiêu hóa khi sử dụng đường uống, gây loét đường tiêu hóa",Tăng nguy cơ loét tiêu hóa,"1. Tốt nhất nên tránh phối hợp, đặc biệt ở người cao tuổi. Cân nhắc chuyển sang sử dụng kali đường tĩnh mạch. 2. Trong trường hợp bắt buộc sử dụng đồng thời, cân nhắc một số khuyến cáo sau giúp giảm nguy cơ loét tiêu hóa: (1) uống ít nhất 100 mL nước sau khi uống kali, (2) ngồi hoặc đứng thẳng trong ít nhất 5 - 10 phút sau khi uống thuốc."
198,Clomipramin,Linezolid,Hiệp đồng tác dụng serotonin,"Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)","1. Cố gắng tránh sử dụng đồng thời linezolid và clomipramin. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. 2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng linezolid và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc."
199,Clomipramin,Xanh methylen (sử dụng đường tiêm tĩnh mạch),Hiệp đồng tác dụng serotonin,"Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)","1. Cố gắng tránh sử dụng đồng thời xanh methylen và pethidin. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. Trong trường hợp bắt buộc sử dụng opioid, có thể đổi sang các opiod khác không có hoạt tính ức chế thu hồi serotonin (morphin, codein, oxycodon, buprenorphin) 2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng xanh methylen và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc."
200,Clomipramin,Furazolidon,"Hiệp đồng tác dụng serotonin. Tác dụng ức chế MAO của furazolidon do chất chuyển hóa của thuốc, xuất hiện chậm sau 5 - 10 ngày.","Tăng nguy cơ hội chứng serotonin (sốt cao, rối loạn nhận thức, tăng phản xạ, mất phối hợp, rung giật cơ, cứng cơ, co giật, nhịp tim nhanh, tăng huyết áp, tăng thân nhiệt, vã mồ hôi, ảo giác, kích động hoặc bồn chồn…)","1. Cố gắng tránh sử dụng đồng thời furazolidon và clomipramin. Tốt nhất các thuốc này nên sử dụng cách nhau 2 tuần. Cân nhắc thay đổi sang các thuốc nhóm khác có cùng chỉ định và ít có nguy cơ tương tác hơn. 2. Trong hợp không thể trì hoãn điều trị được 2 tuần, bắt buộc sử dụng dài ngày hoặc khẩn cấp bằng furazolidon và không có thuốc khác thay thế, cân bằng lợi ích và nguy cơ xảy ra hội chứng serotonin. Nếu lợi ích vượt trội nguy cơ, vẫn có thể sử dụng đồng thời nhưng cần giám sát chặt chẽ chặt chẽ bệnh nhân, đặc biệt trong tháng đầu tiên sử dụng đồng thời 2 thuốc."
201,Clonixin,Ketorolac,Hiệp đồng tác dụng kích ứng đường tiêu hóa,Tăng nguy cơ xuất huyết tiêu hóa nghiêm trọng (sử dụng đồng thời ketorolac với 1 NSAID khác làm tăng nguy cơ xuất huyết tiêu hóa gấp 5 lần so với phối hợp 2 NSAID khác),Chống chỉ định phối hợp. Cần đặc biệt lưu ý nguy cơ tương tác trong trường hợp giảm đau hậu phẫu.
202,Cloroquin,Thioridazin,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh","1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải. 2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quyết định kê đơn."
203,Cloroquin,Sparfloxacin,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh","1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải. 2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quyết định kê đơn."
204,Cloroquin,Domperidon,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Chống chỉ định phối hợp.
205,Clorpromazin,Thioridazin,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh","1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải. 2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quyết định kê đơn."
206,Clorpromazin,Moxifloxacin,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh","1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải. 2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quyết định kê đơn."
207,Clorpromazin,Escitalopram,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh","1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải. 2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quyết định kê đơn."
208,Clorpromazin,Haloperidol,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh","1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải. 2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quyết định kê đơn."
209,Clorpromazin,Piperaquin/ dihydroartemisinin (piperaquin),Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh","1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải. 2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quyết định kê đơn."
210,Clorpromazin,Sparfloxacin,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh","1. Chống chỉ định phối hợp ở các bệnh nhân có hội chứng QT kéo dài do di truyền hoặc mắc phải. 2. Trên các đối tượng bệnh nhân khác, tốt nhất nên tránh phối hợp các thuốc này. Trong trường hợp cần thiết phối hợp, cần đánh giá cẩn thận nguy cơ/lợi ích và lượng giá các yếu tố nguy cơ trên từng bệnh nhân, đặc biệt là rối loạn điện giải (hạ kali máu, hạ magie máu, hạ calci máu), nhịp tim chậm, nữ giới trước khi quyết định kê đơn."
211,Clorpromazin,Domperidon,Hiệp đồng tăng tác dụng,"Tăng nguy cơ kéo dài khoảng QT, xoắn đỉnh",Chống chỉ định phối hợp.
212,Colchicin,Indinavir +/- ritonavir,Indinavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của colchicin,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).","1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận. 2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin."
213,Colchicin,Lopinavir/ritonavir (ritonavir),Ritonavir ức chế mạnh CYP3A4 và ức chế P-gp làm giảm chuyển hóa và thải trừ colchicin.,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).","1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận. 2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin."
214,Colchicin,Darunavir/ritonavir (ritonavir),Ritonavir ức chế mạnh CYP3A4 và ức chế P-gp làm giảm chuyển hóa và thải trừ colchicin.,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).","1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận. 2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin."
215,Colchicin,Saquinavir +/- ritonavir,Saquinavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của colchicin,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).","1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận. 2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin."
216,Colchicin,Itraconazol,Itraconazol ức chế mạnh CYP3A4 và ức chế P-gp làm giảm chuyển hóa và thải trừ colchicin.,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).","1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận. 2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin."
217,Colchicin,Posaconazol,Posaconazol ức chế CYP3A4 mạnh làm giảm chuyển hóa của colchicin,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).","1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận. 2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin."
218,Colchicin,Voriconazol,Voriconazol ức chế CYP3A4 mạnh làm giảm chuyển hóa của colchicin,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).","1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận. 2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin."
219,Colchicin,Roxithromycin,Roxithromycin ức chế CYP3A4 mạnh làm giảm chuyển hóa của colchicin,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).","1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận. 2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin."
220,Colchicin,Erythromycin,Erythromycin ức chế mạnh CYP3A4 và ức chế P-gp làm giảm chuyển hóa và thải trừ colchicin.,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).","1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận. 2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin."
221,Colchicin,Ranolazin,Ranolazin ức chế P-gp làm giảm thải trừ colchicin.,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).","1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận. 2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin."
222,Colchicin,Verapamil,Verapamil ức chế P-gp làm giảm thải trừ colchicin.,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).","1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận. 2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin."
223,Colchicin,Diltiazem,Diltiazem ức chế P-gp làm giảm thải trừ colchicin.,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).","1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận. 2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin."
224,Colchicin,Sunitinib,Sunitinib ức chế P-gp làm giảm thải trừ colchicin.,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).","1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận. 2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin."
225,Colchicin,Nilotinib,Nilotinib ức chế P-gp làm giảm thải trừ colchicin.,"Tăng nồng độ colchicin trong huyết thanh, tăng nguy cơ tác dụng độc tính (tiêu chảy, nôn, đau bụng, sốt, xuất huyết, giảm cả ba dòng tế bào máu, các dấu hiệu độc tính trên cơ như đau cơ, mỏi cơ hoặc yếu cơ, nước tiểu sẫm màu, dị cảm, trường hợp nặng có thể gây suy đa tạng và tử vong).","1. Chống chỉ định ở bệnh nhân suy gan hoặc suy thận. 2. Ở bệnh nhân chức năng gan, thận bình thường: nên tránh phối hợp. Nếu phối hợp: giảm liều colchicin. Dùng liều tiếp theo của colchicin sau 3 ngày. Theo dõi nguy cơ độc tính của colchicin."
226,Dabigatran,Itraconazol,Itraconazol ức chế P-gp làm giảm thải trừ dabigatran khỏi cơ thể,"Tăng nồng độ dabigatran trong huyết thanh, tăng nguy cơ xuất huyết",Chống chỉ định phối hợp
227,Daclatasvir,Rifampicin,Rifampicin cảm ứng CYP3A4 làm tăng chuyển hóa của daclatasvir,"Giảm nồng độ của daclatasvir trong huyết thanh, dẫn đến giảm hiệu quả điều trị",Chống chỉ định phối hợp.
228,Daclatasvir,Enzalutamid,Enzalutamid cảm ứng CYP3A4 làm tăng chuyển hóa của daclatasvir,"Giảm nồng độ của daclatasvir trong huyết thanh, dẫn đến giảm hiệu quả điều trị",Chống chỉ định phối hợp.
229,Daclatasvir,Phenobarbital,Phenobarbital cảm ứng CYP3A4 mạnh làm tăng chuyển hóa của daclatasvir,"Giảm nồng độ của daclatasvir trong huyết thanh, dẫn đến giảm hiệu quả điều trị",Chống chỉ định phối hợp.
230,Daclatasvir,Phenytoin,Phenytoin cảm ứng CYP3A4 mạnh làm tăng chuyển hóa của daclatasvir,"Giảm nồng độ của daclatasvir trong huyết thanh, dẫn đến giảm hiệu quả điều trị",Chống chỉ định phối hợp.
231,Danazol,Simvastatin,Danazol ức chế CYP3A4 làm giảm chuyển hóa của simvastatin,"Tăng nồng độ simvastatin trong huyết thanh, tăng nguy cơ bệnh cơ hoặc tiêu cơ vân cấp",Chống chỉ định phối hợp
232,Danazol,Lovastatin,Danazol ức chế CYP3A4 làm giảm chuyển hóa của lovastatin,"Tăng nồng độ lovastatin trong huyết thanh, tăng nguy cơ bệnh cơ hoặc tiêu cơ vân cấp",Chống chỉ định phối hợp
233,Darunavir/ritonavir,Lovastatin,Darunavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của lovastatin,"Tăng nồng độ của lovastatin trong huyết thanh, tăng nguy cơ bệnh cơ hoặc tiêu cơ vân cấp","Chống chỉ định phối hợp. Trong trường hợp bắt buộc sử dụng dẫn chất statin, thay lovastatin bằng các dẫn chất statin khác (ngoại trừ simvastatin), sử dụng liều thấp nhất có hiệu quả, atorvastatin không vượt quá 20 mg/ngày (hoặc 40 mg/ngày theo Hướng dẫn điều trị HIV/AIDS của Bộ Y tế và Tổ chức Y tế Thế giới), pitavastatin không cần hiệu chỉnh liều khi phối hợp."
234,Darunavir/ritonavir,Simvastatin,Darunavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của simvastatin,"Tăng nồng độ của simvastatin trong huyết thanh, tăng nguy cơ bệnh cơ hoặc tiêu cơ vân cấp","Chống chỉ định phối hợp. Trong trường hợp bắt buộc sử dụng dẫn chất statin, thay simvastatin bằng các dẫn chất statin khác (ngoại trừ lovastatin), sử dụng liều thấp nhất có hiệu quả, atorvastatin không vượt quá 20 mg/ngày (hoặc 40 mg/ngày theo Hướng dẫn điều trị HIV/AIDS của Bộ Y tế và Tổ chức Y tế Thế giới), pitavastatin không cần hiệu chỉnh liều khi phối hợp."
235,Darunavir/ritonavir,Dihydroergotamin,Darunavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của dihydroergotamin,"Tăng nồng độ của dihydroergotamin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Chống chỉ định phối hợp
236,Darunavir/ritonavir,Ergotamin,Darunavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của ergotamin,"Tăng nồng độ của ergotamin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)",Chống chỉ định phối hợp
237,Darunavir/ritonavir,Ergometrin,Darunavir/ritonavir ức chế CYP3A4 mạnh làm giảm chuyển hóa của ergometrin,"Tăng nồng độ của ergometrin trong huyết thanh, tăng nguy cơ độc tính (nôn, buồn nôn, hoại tử đầu chi, thiếu máu cục bộ do co thắt mạch…)","Tốt nhất nên tránh phối hợp. Đối với trường hợp điều trị băng huyết sau sinh, nếu không còn thuốc khác thay thế ở người bệnh đang sử dụng darunavir, sử dụng ergometrin chỉ khi lợi ích vượt trội nguy cơ và sử dụng liều thấp nhất có hiệu quả trong thời gian ngắn nhất."
